gov_id,gov_title_zh,gov_title_en,imdb_id,atmovies_id,omdb_title_en,Year,Runtime,Genre,Language,Country,Director,Writer,Actors,Plot,Awards,Poster,imdbRating,imdbVotes,Metascore,source,fetched_at
31596,厲陰宅：最終聖事,The Conjuring：Last Rites,tt22898462,fcen22898462,The Conjuring: Last Rites,2025,135 min,"Horror, Mystery, Thriller",English,"United States, United Kingdom, Canada",Michael Chaves,"Ian Goldberg, Richard Naing, David Leslie Johnson-McGoldrick","Vera Farmiga, Patrick Wilson, Elliot Cowan",Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,N/A,https://m.media-amazon.com/images/M/MV5BM2VmMzRkYzgtMzg2ZC00OTFkLTkwMTYtNTMxNjM2YzI1MjgyXkEyXkFqcGc@._V1_SX300.jpg,6.3,"45,087",54,omdb,2025-10-13 18:35:09
31651,永遠在一起,TOGETHER,tt31184028,ften31184028,Together,2025,102 min,"Horror, Romance",English,"Australia, United States",Michael Shanks,Michael Shanks,"Dave Franco, Alison Brie, Damon Herriman","Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to corrupt their lives, their love and their ...",4 nominations total,https://m.media-amazon.com/images/M/MV5BOWI1Mzg0OWUtNDYxYy00Mzk3LTgxMjMtYWYxZjJhMjI4NDcyXkEyXkFqcGc@._V1_SX300.jpg,6.8,"39,638",75,omdb,2025-10-13 18:35:11
31654,電影版小林家的龍女僕：害怕寂寞的龍,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,no_imdb,fmjp36592985,,,,,,,,,,,,,,,,omdb,2025-10-13 18:35:13
31662,淒厲人師,The Tutor,tt19637278,ftth36590795,The Tutor,2023,92 min,"Mystery, Thriller",English,United States,Jordan Ross,Ryan King,"Garrett Hedlund, Noah Schnapp, Victoria Justice","A tutor is being assigned an unexpected task at a mansion and finds himself struggling with the obsessions of his student, who threatens to expose his darkest secrets.",2 nominations total,https://m.media-amazon.com/images/M/MV5BMDJjZmIwMzgtNDBjZC00YWE3LWFlNzMtM2MyOTdiZWJhYWY3XkEyXkFqcGc@._V1_SX300.jpg,4.8,"4,820",N/A,omdb,2025-10-13 18:35:15
31668,突破_三千米的泳氣,Second Life,tt1285248,fbtw96355546,Second Life,2009,85 min,Drama,"Portuguese, English, Italian",Portugal,"Miguel Gaudêncio, Alexandre Valente",Alexandre Valente,"Piotr Adamczyk, Lúcia Moniz, Paulo Pires","Nicholas celebrates his 40th birthday in his country house, with some friends. He has everything he ever wished for, but, on that night, he will end up dead, on his swimming pool. From that moment on, a dead Nicholas wonders how his life would be if he had made a different choice, ten years ago. We then follow two stories: on one hand the police, trying to solve the mystery of Nicholas' death and on the other, Nicholas himself, living a different life. A second life.",N/A,https://m.media-amazon.com/images/M/MV5BNmZjY2M4MzktNjUzNS00NmQ1LWFkMzAtMTliOGNmZGM5MmY5XkEyXkFqcGdeQXVyMjUyMTE3MTc@._V1_SX300.jpg,4.1,779,N/A,omdb,2025-10-13 18:35:17
31685,劇場版 咒術迴戰 懷玉・玉折,JUJUTSU KAISEN: Hidden Inventory / Premature Death – The Movie,tt36956670,fjjp36956670,JUJUTSU KAISEN: Hidden Inventory/Premature Death - The Movie,2025,110 min,"Animation, Action, Fantasy",Japanese,Japan,Shouta Goshozono,"Gege Akutami, Hiroshi Seko","Aya Endô, Takehito Koyasu, Anna Nagase","Once-friends Gojo and Geto must protect Riko Amanai, marked as the Star Plasma Vessel sacrifice. Hunted by cultists and curse users, these powerful sorcerers face a mission that will test their limits and shape their futures.",N/A,https://m.media-amazon.com/images/M/MV5BZmRlYzE5YTAtOTMyOS00MTY3LTg2MmYtMTU5Y2E2ODg5ZjNiXkEyXkFqcGc@._V1_SX300.jpg,7.9,624,N/A,omdb,2025-10-13 18:35:19
31702,光,The light,tt0388562,fdde31116299,The Light,2004,105 min,"Drama, Romance",French,France,Philippe Lioret,"Emmanuel Courcol, Claude Faraldo, Gilles Legrand","Sandrine Bonnaire, Philippe Torreton, Grégori Derangère","Camille arrives at the island Ouessant where she was born, to sell the house of her parents. She finds a book of a certain Antoine and starts reading. A story of a stranger is told who came 1963 to the island. He wasn't well received and left again after 2 month.",3 nominations,https://m.media-amazon.com/images/M/MV5BMjI5NDQ4MjkzOV5BMl5BanBnXkFtZTgwNzI5ODkwMzE@._V1_SX300.jpg,7.0,"1,650",N/A,omdb,2025-10-13 18:35:21
31704,陌路兄弟,Road's End in Taiwan,tt35231528,fren35231528,Road's End in Taiwan,2025,91 min,Drama,"English, French, Chinese","Switzerland, Taiwan",Maria Nicollier,Maria Nicollier,"Pierre-Antoine Dubey, Rhydian Vaughan, Elliot Malvezzi",N/A,1 nomination total,N/A,N/A,7,N/A,omdb,2025-10-13 18:35:23
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),Movie:Utano☆Princesama TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),no_imdb,fmjp35652414,,,,,,,,,,,,,,,,omdb,2025-10-13 18:35:25
31713,捏造：史上最惡殺人教師,SHAM,tt12617682,fsjp34459901,Sham,2021–,N/A,"Adventure, Thriller",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,omdb,2025-10-13 18:35:28
31715,致我所愛之人,Belonging,tt9668594,fbjp34388944,Belonging,2019,73 min,"Crime, Drama, Romance",Turkish,"Turkey, Canada, France",Burak Cevik,Burak Cevik,"Eylül Su Sapan, Çaglar Yalçinkaya","A man recounts the murder of his future mother-in-law, how he met his lover, and what led up to the deadly crime.",3 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BODlhMWRkNGEtNWE0Yi00MzdkLWJiY2MtNTBkY2UzYTNjZGVhXkEyXkFqcGdeQXVyNzM5NTI0NDk@._V1_SX300.jpg,5.7,954,N/A,omdb,2025-10-13 18:35:30
31745,血怨,PEREWANGAN,tt31434122,fpin31434122,Perewangan,2024,N/A,"Horror, Mystery, Thriller",Indonesian,Indonesia,Awi Suryadi,"Andri Cahyadi, JeroPoint","Davina Karamoy, Ully Triani, Dian Sidik","A girl named Maya who is terrorized by various unusual things. Ironically, Maya's father died. All this terrible terror occurred after Maya's mother fell ill",N/A,https://m.media-amazon.com/images/M/MV5BMGNmYWQ4ZDYtNjUzNC00ZTUwLWE5MTMtYThmMTY1ZDBjMzMyXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,omdb,2025-10-13 18:35:33
31748,卡夫卡最後的愛,The Glory of Life,tt27775137,fgde27775137,The Glory of Life,2024,98 min,"Drama, Romance",German,"Germany, Austria","Judith Kaufmann, Georg Maas","Georg Maas, Michael Gutmann, Michael Kumpfmüller","Henriette Confurius, Sabin Tambrea, Manuel Rubey",The last year in Franz Kafka's life and its surprising love story.,2 nominations,https://m.media-amazon.com/images/M/MV5BYWMzZmIwMmMtZTQyMi00MTM4LTgyNGUtNGRmNDBhMDc3OTI1XkEyXkFqcGc@._V1_SX300.jpg,6.6,308,N/A,omdb,2025-10-13 18:35:36
31767,醜得要命,THE UGLY,tt0120401,fuko33514451,The Ugly,1997,93 min,"Drama, Horror, Thriller",English,New Zealand,Scott Reynolds,Scott Reynolds,"Paolo Rotondo, Paul Glover, Chris Graham","Simon is a confessed serial killer who spent the last five years in a mental hospital because of his state. Dr.Karen Shoemaker wants to get through to him and starts visiting him in the hospital, and his previous life comes to us in flashbacks.",7 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BOGRlNGFiN2EtODQwMy00Nzk4LWE0MjUtZWVhY2E3Y2JhNWJiXkEyXkFqcGc@._V1_SX300.jpg,6.0,"3,152",N/A,omdb,2025-10-13 18:35:40
31769,大競走,THE LONG WALK,tt10374610,flen10374610,The Long Walk,2025,108 min,Thriller,English,"United States, Canada",Francis Lawrence,"JT Mollner, Stephen King","Cooper Hoffman, David Jonsson, Garrett Wareing","A group of teenage boys compete in an annual contest known as ""The Long Walk,"" in which they must maintain a certain walking speed or get shot.",1 win total,https://m.media-amazon.com/images/M/MV5BNmE4YmIxNWQtMzJhMy00NDI5LWFmYjEtMGYyMmFhNzdjODVmXkEyXkFqcGc@._V1_SX300.jpg,7.3,"28,536",71,omdb,2025-10-13 18:35:42
31776,搗破法蘭克,Smashing Frank,tt35724819,fscn35724819,Smashing Frank,2025,88 min,"Action, Comedy, Drama",Cantonese,Hong Kong,Trevor Choi,Trevor Choi,"Hedwig Tam, Ka-Hei Lam, Ka-Ki Sham","Four young people plan a heist to fight back against rich boomers, only to be caught in a wealthy church's money laundering conspiracy.",N/A,https://m.media-amazon.com/images/M/MV5BZWY1MTM4NGYtNjI5Mi00MTZhLTkwYTQtYThkZGQ4MTYzZDc4XkEyXkFqcGc@._V1_SX300.jpg,N/A,17,N/A,omdb,2025-10-13 18:35:47
31777,奇幻導航,A BIG BOLD BEAUTIFUL JOURNEY,tt13650700,faen13650700,A Big Bold Beautiful Journey,2025,109 min,"Drama, Fantasy, Romance",English,"Ireland, United States",Kogonada,Seth Reiss,"Colin Farrell, Margot Robbie, Phoebe Waller-Bridge","Two strangers who meet at a mutual friend's wedding have the chance to relive important moments from their pasts, illuminating the path that led them to the present and gaining the opportunity to change their futures.",1 nomination total,https://m.media-amazon.com/images/M/MV5BMzMwZWJiYjEtM2RkMi00ZDhjLTk4ZmMtZDQ2NDY2YTJkOTE5XkEyXkFqcGc@._V1_SX300.jpg,6.2,"6,588",43,omdb,2025-10-13 18:35:49
31794,劇場版『鏈鋸人 蕾潔篇』,Chainsaw Man – The Movie: Reze Arc,tt30472557,fcjp30472557,Chainsaw Man - The Movie: Reze Arc,2025,100 min,"Animation, Action, Adventure",Japanese,Japan,Tatsuya Yoshihara,"Tatsuki Fujimoto, Hiroshi Seko","Kikunosuke Toya, Tomori Kusunoki, Shôgo Sakata","Denji encounters a new romantic interest, Reze, who works at a coffee café.",N/A,https://m.media-amazon.com/images/M/MV5BZmMzNGVhODktYmU5MS00MDg1LThlNTEtNTMyYTg5MDA0Njk4XkEyXkFqcGc@._V1_SX300.jpg,8.5,"3,800",N/A,omdb,2025-10-13 18:35:51
31796,傲嬌公主的奇幻冒險,The Proud Princess,tt0191383,fpcz10996076,The Proud Princess,1952,94 min,"Comedy, Drama, Family",Czech,Czechoslovakia,Borivoj Zeman,"Bozena Nemcová, Henryk Bloch, Oldrich Kautský","Alena Vránová, Vladimír Ráz, Stanislav Neumann",A fairy tale of all Czech fairy tales about the proud princess Krasomila who refused to marry King Miroslav.,N/A,https://m.media-amazon.com/images/M/MV5BZDFkNzMwZmEtYTc1Ny00ODVmLTgyOTgtOTQxYmE0MzVjZGM4XkEyXkFqcGc@._V1_SX300.jpg,7.6,928,N/A,omdb,2025-10-13 18:35:56
31797,一戰再戰,One Battle After Another,tt30144839,foen30144839,One Battle After Another,2025,161 min,"Action, Crime, Drama","English, Spanish",United States,Paul Thomas Anderson,"Paul Thomas Anderson, Thomas Pynchon","Leonardo DiCaprio, Sean Penn, Benicio Del Toro","When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.",3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_SX300.jpg,8.3,"80,634",95,omdb,2025-10-13 18:35:58
31799,電影版 神奇柑仔店 錢天堂,The Supernatural Sweet Shop The Movie,no_imdb,fsjp33256912,,,,,,,,,,,,,,,,omdb,2025-10-13 18:36:00
31801,鬼祭,Pabrik Gula,no_imdb,fsin33349807,,,,,,,,,,,,,,,,omdb,2025-10-13 18:36:02
31807,泥娃娃,Mudborn,no_imdb,fmcn39232790,,,,,,,,,,,,,,,,omdb,2025-10-13 18:36:04
31808,夢想巨無霸,Jumbo,tt27433995,fjin27433995,Jumbo,2025,102 min,"Animation, Adventure, Comedy","Indonesian, German",Indonesia,Ryan Adriandhy,"Ryan Adriandhy, Widya Arifianti","Prince Poetiray, Quinn Salman, Yusuf Ozkan","Don, a chubby boy bullied as ""Jumbo"", encounters Meri, a spirit seeking help to reunite with her troubled family's spirits. Their journey unfolds.",N/A,https://m.media-amazon.com/images/M/MV5BOTNlNmI2NzQtNjNkZS00MzZlLTg2MTAtZjZhNjE3ZmQ3NGNhXkEyXkFqcGc@._V1_SX300.jpg,8.1,"3,028",N/A,omdb,2025-10-13 18:36:06
31809,疾速營救,Stolen Girl,tt28228082,fsen44682810,The Stolen Girl,2025–,N/A,"Drama, Mystery, Thriller",English,United Kingdom,N/A,N/A,"Denise Gough, Holliday Grainger, Beatrice Campbell",A mother-of-two whose world is turned upside down when she agrees to let her nine-year-old daughter have a sleepover at her new best friend's house.,N/A,https://m.media-amazon.com/images/M/MV5BNDU0ZjA1NTgtOTA4Ni00YjhjLWI1OTAtMjY4M2IyY2NkOTdjXkEyXkFqcGc@._V1_SX300.jpg,6.4,"5,791",N/A,omdb,2025-10-13 18:36:08
